cis_name,name,lat,lon,country_code,region,district
"Trstená,,Oravská priehrada","Trstená, Oravská priehrada",49.37286,19.55773,SK,Žilinský,Tvrdošín
"Trstená,Ústie n.Priehradou","Trstená, Ústie nad Priehradou",49.37832,19.58365,SK,Žilinský,Tvrdošín
"Trstená,,Košariská","Trstená, Košariská",49.37979,19.60431,SK,Žilinský,Tvrdošín
"Trstená,,Ďurdinová","Trstená, Ďurdinová",49.37078,19.61439,SK,Žilinský,Tvrdošín
"Trstená,,Štátne lesy","Trstená, Štátne lesy",49.3678,19.6196,SK,Žilinský,Tvrdošín
"Trstená,,Hýbeľ","Trstená, Hýbeľ",49.36486,19.61532,SK,Žilinský,Tvrdošín
"Trstená,,aut.st.","Trstená, aut.st.",49.36087,19.61431,SK,Žilinský,Tvrdošín
"Trstená,,nem.","Trstená, nem.",49.35918,19.60155,SK,Žilinský,Tvrdošín
"Trstená,,sídl.Západ","Trstená, sídl.Západ",49.3558,19.59492,SK,Žilinský,Tvrdošín
"Trstená,,rázc.Zábiedovo","Trstená, rázc.Zábiedovo",49.35307,19.58682,SK,Žilinský,Tvrdošín
"Tvrdošín,,PNZZ","Tvrdošín, PNZZ",49.34254,19.56791,SK,Žilinský,Tvrdošín
"Tvrdošín,,žel.st.","Tvrdošín, žel.st.",49.33745,19.56258,SK,Žilinský,Tvrdošín
"Tvrdošín,,nákup.str.","Tvrdošín,,nákup.str.",49.33288,19.55395,SK,Žilinský,Tvrdošín
"Tvrdošín,Medvedzie,SPŠE","Tvrdošín, Medvedzie, SPŠE",49.32873,19.55119,SK,Žilinský,Tvrdošín
"Tvrdošín,Krásna Hôrka","Tvrdošín, Krásna Hôrka",49.32162,19.54504,SK,Žilinský,Tvrdošín
"Nižná,Zemianska Dedina,rázc.","Nižná, Zemianska Dedina, rázc.",49.32102,19.53664,SK,Žilinský,Tvrdošín
"Nižná,Zemianska Dedina","Nižná, Zemianska Dedina",49.32246,19.51542,SK,Žilinský,Tvrdošín
"Nižná,,aut.st.","Nižná, aut.st.",49.30933,19.52734,SK,Žilinský,Tvrdošín
"Dolný Kubín,Mokraď,Tech.služby","Dolný Kubín, Mokraď, Tech.služby",49.23648,19.30792,SK,Žilinský,Dolný Kubín
"Dolný Kubín,Mokraď,priem.park","Dolný Kubín, Mokraď, priem.park",49.23226,19.30082,SK,Žilinský,Dolný Kubín
"Dolný Kubín,,SAD","Dolný Kubín, SAD",49.2271,19.3046,SK,Žilinský,Dolný Kubín
"Dolný Kubín,,SEZ","Dolný Kubín, SEZ",49.22123,19.2972,SK,Žilinský,Dolný Kubín
"Dolný Kubín,,aut.st.","Dolný Kubín, aut.st.",49.21711,19.29584,SK,Žilinský,Dolný Kubín
"Dolný Kubín,,Alej slobody","Dolný Kubín, Alej slobody",49.21143,19.29696,SK,Žilinský,Dolný Kubín
"Dolný Kubín,,pri moste","Dolný Kubín, pri moste",49.21287,19.29014,SK,Žilinský,Dolný Kubín
"Dolný Kubín,,okr.úrad","Dolný Kubín, okr.úrad",49.21147,19.28719,SK,Žilinský,Dolný Kubín
"Dolný Kubín,Malý Bysterec","Dolný Kubín, Malý Bysterec",49.21236,19.27419,SK,Žilinský,Dolný Kubín
"Veličná,Revišné,rázc.","Veličná, Revišné, rázc.",49.20743,19.25149,SK,Žilinský,Dolný Kubín
Veličná,Veličná,49.20528,19.24476,SK,Žilinský,Dolný Kubín
